ORF,RNA Change (q-value FDR),Protein Change (q-value FDR),(C4)_030_rna,(C4)_060_rna,(C4)_090_rna,(C4)_120_rna,(C4)_240_rna,(C5)_030_rna,(C5)_060_rna,(C5)_090_rna,(C5)_120_rna,(C5)_240_rna,(C6)_030_rna,(C6)_060_rna,(C6)_090_rna,(C6)_120_rna,(C6)_240_rna,(C4)_030_protein,(C4)_060_protein,(C4)_090_protein,(C4)_120_protein,(C4)_240_protein,(C5)_030_protein,(C5)_060_protein,(C5)_090_protein,(C5)_120_protein,(C5)_240_protein,(C6)_030_protein,(C6)_060_protein,(C6)_090_protein,(C6)_120_protein,(C6)_240_protein
YGR234W,2E-06,1E-06,-1.25,-0.67,-0.96,-1.02,-0.64,-0.3,-1.68,-1.08,-0.86,-0.33,-1.01,-1.56,-1.09,-1.01,-0.92,-0.08,-0.14,-0.2,-0.26,-0.39,-0.03,-0.16,-0.24,-0.34,-0.5,0.01,-0.07,-0.17,-0.18,-0.34
YGR282C,2E-06,1E-06,-0.74,0.83,0.72,0.71,0.63,-0.43,0.38,0.46,0.64,0.53,-0.53,0.86,0.59,0.44,0.13,0.03,0.12,0.24,0.31,0.37,0.02,0.1,0.26,0.35,0.44,0.13,0.2,0.42,0.53,0.48
YIR037W,2E-06,1E-06,0.42,0.68,0.67,0.44,0.48,0.15,0.59,0.76,0.63,0.44,-0.1,0.47,0.72,0.28,0.17,0.03,0.24,0.26,0.33,0.29,-0.01,0.12,0.26,0.38,0.44,0.07,0.15,0.19,0.23,0.31
YKL157W,2E-05,1E-06,0.12,0.4,0.37,0.08,0.24,0.27,0.52,0.72,0.53,0.36,0.15,0.37,0.43,0.3,0.17,0,0.18,0.26,0.28,0.3,-0.09,0.09,0.19,0.21,0.21,-0.06,0.11,0.21,0.27,0.24
YLR214W,0,1E-06,-2.35,-2.52,-2.1,-2.11,-1.86,-2.79,-2.67,-2.47,-1.93,-1.01,-2.56,-2.05,-1.5,-1.3,-0.67,-0.23,-0.48,-0.71,-0.81,-1.2,-0.52,-0.52,-0.71,-0.53,-1.53,-0.38,-0.93,-1.27,-1.46,-1.39
YLR270W,0,1E-06,3.3,1.67,1.32,1.54,1.03,3.2,2.81,1.93,1.84,1.52,2.88,2.02,1.09,1.26,0.98,0.38,0.8,0.8,0.86,0.83,0.29,0.87,0.96,1.11,1.21,0.23,0.54,0.61,0.53,0.59
YML026C,2.8E-05,1E-06,-0.79,-0.11,0.07,-0.19,-0.28,-0.75,-0.29,0.08,-0.14,0.11,-1.39,-0.57,0.01,-0.19,-0.12,0,-0.15,-0.24,-0.3,-0.18,0.06,-0.11,-0.19,-0.26,-0.22,-0.04,-0.16,-0.17,-0.25,-0.18
YMR031C,0,1E-06,2.09,0.65,1.11,0.85,0.71,1.83,0.89,0.76,1.14,0.84,2.12,0.73,0.6,0.91,0.66,0.23,0.31,0.32,0.38,0.4,0.05,0.41,0.45,0.5,0.62,0.47,0.52,0.47,0.49,0.73
YMR072W,0.010006,1E-06,0.6,0.32,0.15,0.05,0.54,0.58,0.85,0.62,0.34,0.77,0.15,-0.13,0.18,0.11,0.12,0.04,0.25,0.26,0.28,0.25,0.16,0.22,0.31,0.28,0.51,0.2,0.22,0.28,0.31,0.39
YNL098C,2E-05,1E-06,1.34,0.57,0.59,0.65,0.3,0.89,0.54,0.27,0.46,0.59,0.77,0.38,-0.05,0.27,0.02,0.22,0.35,0.32,0.39,0.42,0.35,0.58,0.37,0.5,0.75,0.08,0.31,0.29,0.39,0.46
