ORF,RNA Change (q-value FDR),Protein Change (q-value FDR),(C4)_030_rna,(C4)_060_rna,(C4)_090_rna,(C4)_120_rna,(C4)_240_rna,(C5)_030_rna,(C5)_060_rna,(C5)_090_rna,(C5)_120_rna,(C5)_240_rna,(C6)_030_rna,(C6)_060_rna,(C6)_090_rna,(C6)_120_rna,(C6)_240_rna,(C4)_030_protein,(C4)_060_protein,(C4)_090_protein,(C4)_120_protein,(C4)_240_protein,(C5)_030_protein,(C5)_060_protein,(C5)_090_protein,(C5)_120_protein,(C5)_240_protein,(C6)_030_protein,(C6)_060_protein,(C6)_090_protein,(C6)_120_protein,(C6)_240_protein
YOR374W,0,1E-06,4.06,1.31,1.46,2.28,1.75,4.36,2.5,2.08,2.29,2.01,3.64,1.44,1.24,1.44,1.16,0.84,0.98,0.93,0.98,1,0.58,1.36,1.32,1.3,1.36,0.44,0.67,0.66,0.64,0.77
YPR154W,0,1E-06,1.54,0.58,0.44,0.3,0.39,1.69,0.56,0.41,0.47,0.5,1.05,0.9,0.5,0.29,0.25,0.35,0.52,0.49,0.5,0.38,0.06,0.51,0.6,0.57,0.39,0.4,0.24,0.5,0.68,0.67
YBR286W,0,2E-06,0.48,0.38,0.5,0.61,0.66,0.36,0.43,0.45,0.6,0.61,0.63,0.53,0.54,0.73,0.59,-0.14,0.07,0.17,0.23,0.29,-0.19,0.04,0.25,0.31,0.2,-0.05,0.03,0.22,0.27,0.34
YDR516C,0,2E-06,3.05,1.37,1.2,1.38,1.04,3.41,2.23,1.87,1.76,1.12,2.62,1.19,0.65,0.59,0.35,0.61,0.74,0.73,0.76,0.64,0.41,0.86,0.91,0.83,0.9,0.23,0.43,0.51,0.45,0.39
YHR037W,0,2E-06,1.41,0.63,0.87,1.06,0.75,1.19,1,1,1.04,1.07,1.05,0.81,0.86,0.78,0.78,0.08,0.27,0.36,0.45,0.6,0.09,0.27,0.31,0.23,0.54,0.31,0.21,0.43,0.66,0.84
YHR128W,0,2E-06,-2.13,-1.41,-0.87,-1.15,-0.69,-1.65,-1.59,-1.15,-0.93,-0.69,-2.05,-1.7,-1.13,-1.04,-0.5,-0.03,-0.24,-0.23,-0.23,-0.27,0.01,-0.1,-0.14,-0.22,-0.25,0.04,-0.16,-0.21,-0.29,-0.3
YJL060W,0,2E-06,0.58,0.82,0.48,0.66,0.35,0.66,0.84,0.96,0.63,0.58,0.47,0.64,0.52,0.29,0.52,0.13,0.22,0.3,0.29,0.29,-0.1,0.28,0.47,0.48,0.44,0.12,0.22,0.41,0.46,0.55
YJL068C,1.2E-05,2E-06,0.49,0.84,0.56,0.56,0.41,0.39,0.74,1,0.91,0.62,0.29,0.58,0.4,0.3,0.11,-0.07,0.14,0.3,0.33,0.37,-0.05,0.12,0.18,0.31,0.27,0.06,0.17,0.4,0.29,0.25
YML022W,5E-06,2E-06,-1.15,-0.62,-0.25,-0.12,-0.03,-1.2,-0.8,-0.79,-0.75,-0.4,-0.89,-0.43,-0.42,-0.36,0.05,-0.03,-0.4,-0.39,-0.4,-0.29,0.01,-0.15,-0.26,-0.35,-0.34,-0.03,-0.31,-0.42,-0.52,-0.56
YML078W,0.031456,2E-06,-0.47,0.1,0.17,0.03,-0.1,-0.02,0.02,0.61,0.49,0.35,-0.19,-0.54,0.45,0.21,0.32,0.05,0.09,0.16,0.25,0.39,0.03,0.1,0.17,0.25,0.36,0.14,0.27,0.3,0.35,0.42
YMR116C,0.020743,2E-06,-0.82,-0.23,0.2,0.62,0.66,-0.27,-0.68,-0.54,-0.16,0.27,-0.49,-0.18,-0.3,0,0.09,-0.05,-0.17,-0.22,-0.22,-0.11,-0.02,-0.16,-0.2,-0.27,-0.27,0.01,-0.14,-0.25,-0.3,-0.21
YNL015W,0,2E-06,0.62,1.18,1.15,2.47,1.38,0.55,1.33,1.44,1.86,2.05,0.15,1.22,0.94,1.13,1.05,0.35,0.36,0.42,0.66,0.98,0.33,0.44,0.52,0.63,1.04,0.07,0.2,0.21,0.33,0.62
YNR050C,4.7E-05,2E-06,-0.47,1.14,0.75,0.31,0.38,-0.15,0.4,1.06,0.63,0.12,-0.08,0.24,0.83,0.51,0.25,0,0.13,0.24,0.3,0.28,0.02,0.03,0.18,0.23,0.23,0.1,0.15,0.19,0.33,0.28
YOL058W,0,2E-06,-0.26,3.35,2.76,2.41,1.44,-0.35,3.74,3.36,2.28,1.62,-0.91,3.12,2.37,2.03,1.72,0.16,0.79,1.02,1.12,1.35,0.03,0.37,1.04,1.07,1.31,0,0.22,0.61,0.42,0.94
YOR096W,6.9E-05,2E-06,-0.99,-0.55,0.1,-0.23,0.2,-0.7,-0.16,0.07,0.01,0.08,-1.36,-1.02,-0.12,-0.27,0.43,-0.15,-0.36,-0.31,-0.37,-0.27,-0.03,-0.18,-0.32,-0.31,-0.46,-0.05,-0.24,-0.29,-0.37,-0.2
YBL058W,1E-05,3E-06,1.25,0.24,0.09,0.03,0.16,0.74,0.47,-0.09,-0.14,0.32,0.75,0.48,-0.14,-0.21,-0.04,0.18,0.16,0.16,0.18,0.19,0.16,0.22,0.2,0.13,0.23,0.21,0.35,0.26,0.19,0.25
YBL092W,0.000477,3E-06,-0.52,0.2,0.27,0.53,0.57,-0.34,-0.07,0.03,0.19,0.47,-0.79,-0.27,0.2,0.21,0.16,0.01,-0.25,-0.28,-0.3,-0.14,0.07,-0.13,-0.3,-0.3,-0.15,-0.07,-0.13,-0.25,-0.31,-0.3
YDL124W,1E-06,3E-06,3.01,2.37,1.63,1.86,1.35,3.04,3.01,2.61,2.35,1.97,1.85,1.6,1.2,0.91,0.78,0.36,0.69,0.75,0.81,0.9,0.29,0.73,1.01,1.08,1.2,0.12,0.4,0.46,0.51,0.58
YDL126C,0.000563,3E-06,0.51,0.43,0.16,-0.06,0,0.33,0.54,0.4,0.06,0.3,0.34,0.47,0.23,-0.3,-0.33,0.02,0.13,0.18,0.16,0.17,0.02,0.13,0.19,0.21,0.16,0.05,0.16,0.25,0.27,0.22
YHR030C,0,3E-06,1.82,1.06,0.61,0.61,0.1,1.32,1.97,0.83,0.6,0.28,1.09,1.5,0.45,0.28,-0.2,0.15,0.54,0.57,0.34,0.28,0.06,0.06,0.62,0.26,0.25,0.22,0.36,0.73,0.45,0.25
YKL065C,6E-06,3E-06,1.57,0.67,0.58,0.35,0.15,1.62,1.46,0.97,0.95,0.69,1.2,0.33,0.62,0.34,0.59,0.29,0.28,0.31,0.3,0.33,0.02,0.26,0.31,0.45,0.63,0.24,0.38,0.53,0.49,0.5
YKL145W,0.002879,3E-06,0.8,0.02,-0.38,-0.34,-0.24,0.24,0.43,-0.21,-0.32,-0.17,0.1,0.1,-0.17,-0.75,-0.6,0.06,0.14,0.09,0.19,0.22,0.08,0.21,0.16,0.21,0.31,0.12,0.21,0.2,0.26,0.21
YNL055C,1E-06,3E-06,0.41,0.95,0.59,0.54,0.53,0.53,0.53,0.51,0.71,0.25,0.3,0.76,0.3,0.45,0.17,0.05,0.22,0.22,0.27,0.16,0.04,0.23,0.36,0.4,0.27,0.2,0.3,0.38,0.39,0.37
YPL048W,0.79474,3E-06,0.14,0.55,0.47,0.44,0.19,-0.09,-0.16,-0.01,0.04,-0.06,-0.1,-0.01,-0.06,-0.18,-0.5,0,0.08,0.12,0.17,0.24,0.07,0.09,0.14,0.17,0.24,0.04,0.1,0.19,0.21,0.26
YPR165W,0.065056,3E-06,0.31,0.62,-0.05,0.3,0.01,0.42,0.44,0.36,0.23,0.29,0.11,-0.12,0.15,0.01,-0.2,0.09,0.22,0.27,0.2,0.18,0.02,0.18,0.3,0.25,0.17,0.17,0.27,0.3,0.31,0.34
YJR059W,0,4E-06,2.09,0.76,0.78,0.79,0.44,2.36,1.02,0.95,1.06,0.65,2.35,0.69,0.61,0.72,0.47,0.23,0.21,0.41,0.39,0.35,0.3,0.48,0.66,0.69,0.81,0.12,0.5,0.51,0.42,0.63
YKL056C,0.008162,4E-06,-0.82,0.05,0.11,0.02,0.44,-0.37,-0.74,-0.31,-0.5,0.08,-0.35,-0.51,-0.13,-0.06,0.43,0,-0.15,-0.19,-0.24,-0.32,0.01,-0.13,-0.22,-0.28,-0.39,0.03,-0.25,-0.4,-0.45,-0.5
YBR139W,0,5E-06,1.74,1.24,1.1,1.44,1.18,1.45,1.42,1.31,1.59,1,1.38,1.25,0.61,1.06,0.74,,,,,,0.03,0.46,0.61,0.65,0.74,0.24,0.6,0.61,0.74,0.76
YGR244C,0,5E-06,1.11,1.38,1.15,1.3,0.92,0.68,0.74,1.15,1.31,1.11,0.54,0.77,0.92,0.85,0.53,0.37,0.23,0.21,0.33,0.39,0.17,0.24,0.26,0.23,0.69,0.34,0.48,0.29,0.52,0.46
YIL136W,0,5E-06,3.3,1.16,1.07,1.47,0.99,2.62,1.26,0.96,1.14,0.94,2.93,1.1,0.64,0.65,0.47,0.55,0.45,0.2,0.24,0.14,0.93,0.58,0.37,0.44,0.44,0.52,0.39,0.24,0.22,0.49
YNL049C,0.038172,5E-06,0.09,0.02,0.11,-0.09,0.11,0.18,0.24,0.22,0.11,0.17,0.08,0.04,0.09,0.1,0.06,-0.01,0.46,0.52,0.69,0.52,0,0.48,0.9,0.99,1.26,0.09,0.5,0.46,0.79,0.57
YCR051W,3E-06,6E-06,-0.99,-0.31,-0.49,-0.41,-0.58,-1.51,-1.04,-0.91,-0.98,-0.28,-1.51,-0.4,-0.68,-0.97,-0.98,-0.11,-0.15,-0.19,-0.2,-0.32,-0.06,-0.15,-0.13,-0.21,-0.28,-0.09,-0.02,-0.19,-0.12,-0.26
YEL060C,0,6E-06,2.28,1.35,1.37,1.37,0.84,2.22,1.84,1.49,1.56,0.91,1.72,1.36,0.94,0.77,0.22,0.42,0.68,0.66,0.65,0.63,,,,,,0.26,0.55,0.73,0.79,0.82
YLR249W,3.7E-05,6E-06,-0.8,-0.08,0.14,0.16,0.29,-0.67,-0.52,-0.21,-0.08,0.31,-1.22,-0.52,-0.07,-0.07,0.09,-0.12,-0.2,-0.16,-0.17,-0.1,-0.1,-0.19,-0.24,-0.25,-0.26,-0.11,-0.19,-0.19,-0.19,-0.14
YMR261C,0,6E-06,1.84,0.74,0.52,0.61,0.54,1.95,1.23,0.87,0.86,0.49,1.82,0.71,0.33,0.3,0.1,0.53,0.72,0.74,0.74,0.6,0.06,0.32,0.36,0.34,0.49,0.41,0.53,0.59,0.65,0.67
YBR115C,0,7E-06,-0.91,0.96,0.6,0.44,0.38,-0.75,1.09,1.26,0.67,0.58,-0.72,0.64,0.77,0.61,0.6,0.06,0.14,0.21,0.26,0.35,-0.11,-0.02,0.18,0.24,0.29,0.07,0.1,0.18,0.28,0.44
YBR117C,0,7E-06,5.42,2.18,1.01,1.28,1.66,5.53,4.37,2.18,1.85,1.47,6.18,4.19,2.22,2.35,2.2,1.15,1.59,1.53,1.53,1.11,0.39,1.38,1.42,1.31,0.94,0.09,0.68,0.78,0.83,0.76
YMR217W,0,7E-06,-1.49,-0.81,-0.46,-0.48,-0.12,-1.3,-1.27,-0.99,-0.96,-0.23,-1.65,-0.84,-0.52,-0.69,-0.21,-0.04,-0.15,-0.18,-0.23,-0.29,0.03,-0.1,-0.18,-0.27,-0.26,-0.06,-0.14,-0.14,-0.16,-0.17
YBR080C,2E-06,8E-06,0.39,0.45,0.27,0.17,0.14,0.45,0.72,0.57,0.4,0.35,0.31,0.48,0.34,0.34,0.16,-0.03,0.2,0.22,0.22,0.14,-0.04,0.12,0.25,0.28,0.29,-0.03,0.14,0.16,0.19,0.17
YDL168W,0,8E-06,1.06,0.4,0.55,0.42,0.64,1.02,0.78,0.55,0.3,0.55,0.95,0.47,0.38,0.31,0.41,0.13,0.24,0.21,0.21,0.23,0.12,0.15,0.22,0.16,0.54,0.12,0.16,0.13,0.18,0.42
YGR189C,0,9E-06,0.49,1.03,0.43,0.66,0.52,0.47,1.25,0.73,0.5,0.37,0.31,1.25,0.88,0.54,0.43,0.11,0.41,0.37,0.43,0.33,-0.04,0.16,0.35,0.32,0.16,-0.04,0.08,0.35,0.42,0.34
YJL055W,3.6E-05,9E-06,0.75,0.87,0.71,0.67,0.38,0.26,0.36,0.41,0.3,0.55,0.24,0.71,0.6,0.26,0.16,0.03,0.13,0.19,0.27,0.2,-0.04,0.18,0.19,0.25,0.43,0.04,0.08,0.21,0.28,0.23
YMR062C,0,9E-06,0.52,1.31,1.79,1.83,1.29,0.77,1.94,2.16,1.86,1.65,0.68,1.35,1.72,1.81,1.71,0.08,0.21,0.38,0.5,0.77,0.08,0.09,0.34,0.38,0.84,,,,,
YJR148W,0,1E-05,-0.59,-0.9,-1.17,-1,-1,-0.42,-0.42,-0.57,-0.8,-0.75,-1.09,-0.69,-1.01,-1.15,-0.95,-0.09,-0.12,-0.18,-0.27,-0.5,-0.05,-0.14,-0.11,-0.17,-0.48,0.02,-0.06,-0.07,-0.13,-0.29
YPL260W,0,1E-05,1.27,0.26,0.07,-0.09,0.08,1.31,0.57,0.28,0.12,0.26,1.03,0.24,0.16,-0.05,-0.14,0.16,0.31,0.25,0.2,0.31,0.26,0.43,0.5,0.49,0.58,0.1,0.35,0.32,0.32,0.27
YDL029W,0.001356,1.1E-05,0.8,0.47,0.1,0.07,-0.07,0.59,0.75,0.56,0.28,0.16,0.29,0.31,-0.01,-0.08,-0.26,0.08,0.23,0.27,0.33,0.35,0,0.12,0.17,0.14,0.19,0.04,0.23,0.23,0.27,0.36
YJR121W,0,1.1E-05,0.34,0.56,0.59,0.73,0.55,0.29,0.41,0.6,0.68,0.53,0.16,0.43,0.44,0.54,0.32,0.01,0.08,0.15,0.16,0.25,0,0.06,0.18,0.24,0.39,0,0.03,0.13,0.17,0.22
YPL240C,1.5E-05,1.1E-05,0.75,-0.68,-1.04,-1.74,-0.85,0.52,0.37,-0.32,-1.01,-0.72,0.21,-0.48,-0.7,-1.64,-0.65,0.14,0.26,0.2,0.11,-0.01,0.06,0.36,0.37,0.36,-0.04,0.11,0.34,0.32,0.25,0.05
YDR513W,0,1.2E-05,1.79,0.43,0.64,0.79,0.45,1.63,0.91,0.8,0.98,0.65,1.9,0.51,1,1.15,0.93,0.39,0.55,0.62,0.71,0.81,0.28,0.54,0.69,0.71,0.9,0.12,0.39,0.24,0.29,0.39
YOR142W,2E-06,1.2E-05,0.78,0.34,0.44,0.8,0.37,0.63,0.58,0.36,0.55,0.18,0.64,0.22,0.21,0.32,0.42,0.06,0.09,0.16,0.15,0.16,-0.02,0.1,0.21,0.21,0.31,0.03,0.08,0.25,0.15,0.26
YLR325C,0.001445,1.3E-05,-0.11,0.09,-0.02,0.4,0.26,-0.24,-0.13,0.14,0.22,0.51,-0.54,-0.18,0.34,0.16,0.35,-0.04,-0.28,-0.19,-0.22,-0.13,-0.04,-0.2,-0.3,-0.34,-0.3,-0.11,-0.29,-0.42,-0.45,-0.37
YGR245C,0,1.4E-05,-2.03,-1.05,-0.74,-1.01,-0.66,-2.06,-1.41,-1.24,-1.21,-0.44,-2.25,-0.9,-0.48,-0.65,-0.5,-0.22,-0.18,-0.17,-0.3,-0.22,-0.13,-0.2,-0.19,-0.21,-0.36,-0.05,-0.2,-0.08,-0.23,-0.18
YJR123W,0.000252,1.4E-05,-0.46,-0.05,0.11,0.05,0.13,-0.69,-0.33,-0.08,-0.04,0.11,-1.17,-0.57,0.08,-0.13,0.06,-0.09,-0.19,-0.2,-0.2,-0.11,0.04,-0.15,-0.16,-0.2,-0.1,-0.06,-0.16,-0.25,-0.25,-0.2
YNL096C,1.8E-05,1.4E-05,-1.02,-0.09,-0.13,-0.26,-0.08,-1.1,-0.03,-0.33,-0.27,0.25,-1.81,-0.68,-0.48,-0.42,-0.05,-0.08,-0.19,-0.2,-0.23,-0.17,0.02,-0.14,-0.2,-0.27,-0.18,0.01,-0.09,-0.15,-0.22,-0.08
YOL016C,1E-06,1.4E-05,1.28,0.45,0.32,0.29,0.13,1.41,0.08,0.02,0.09,-0.09,1.79,0.61,0.47,0.44,0.37,0.49,0.53,0.96,0.74,0.71,0.38,0.52,0.42,0.21,0.5,0.3,0.4,0.42,0.45,0.43
YBL039C,0,1.5E-05,-2.11,-0.97,-0.71,-0.72,-0.28,-1.93,-1.47,-1.34,-1.14,-0.32,-2.57,-0.96,-0.69,-0.69,-0.29,-0.06,-0.15,-0.17,-0.2,-0.26,-0.08,-0.2,-0.22,-0.31,-0.37,-0.03,-0.21,-0.14,-0.18,-0.15
YBR155W,0,1.5E-05,-1.19,-0.8,-0.94,-0.89,-0.88,-1.88,-1.03,-1.26,-1.23,-0.52,-1.7,-0.73,-0.59,-0.84,-0.45,-0.02,-0.13,-0.2,-0.23,-0.36,-0.02,-0.23,-0.34,-0.41,-0.35,-0.2,-0.41,-0.25,-0.54,-0.5
YEL042W,0,1.5E-05,-1.4,-0.35,-0.09,-0.17,0.11,-1.64,-0.69,-0.3,-0.29,-0.05,-1.8,-0.59,-0.21,-0.03,-0.03,-0.28,-0.11,-0.16,-0.18,-0.24,-0.11,-0.32,-0.29,-0.31,-0.29,-0.23,-0.38,-0.22,-0.24,-0.23
YML056C,0,1.5E-05,-1.9,-1.03,-0.66,-0.86,-0.36,-1.88,-1.5,-1.2,-1.23,-0.35,-2.09,-1.53,-0.9,-0.81,-0.32,-0.16,-0.21,-0.24,-0.33,-0.44,0.07,-0.14,-0.22,-0.25,-0.26,-0.14,-0.28,-0.16,-0.19,-0.35
YOR310C,0,1.6E-05,-1.6,-0.42,-0.26,-0.4,-0.29,-2.39,-0.66,-0.69,-0.79,-0.2,-2.79,-0.42,-0.47,-0.63,-0.45,-0.1,-0.08,-0.12,-0.17,-0.23,-0.17,-0.14,-0.12,-0.16,-0.28,-0.12,-0.17,-0.11,-0.15,-0.14
YHR033W,0,1.7E-05,3.99,2.07,2.37,2.59,2.07,4.63,2.6,2.55,2.76,2.35,4.78,3.37,2.53,2.69,1.78,1.23,0.96,1.27,1.33,1.45,0.77,1.66,1.55,1.58,1.62,,,,,
YOL121C,0.000877,1.7E-05,-0.93,0.21,-0.34,-0.12,-0.02,-0.56,-0.35,-0.07,-0.23,-0.33,-1.63,-0.46,-0.04,-0.19,0.1,-0.13,-0.21,-0.19,-0.18,-0.11,0.04,-0.21,-0.26,-0.29,-0.13,-0.12,-0.14,-0.27,-0.31,-0.22
YPR043W,0.002468,1.7E-05,-0.58,0.13,-0.23,0.36,0.54,-0.45,-0.22,-0.01,-0.08,0.51,-1.45,-0.41,-0.2,0.05,0.15,-0.02,-0.32,-0.36,-0.37,-0.22,0.06,-0.16,-0.25,-0.28,-0.19,0.08,-0.04,-0.2,-0.3,-0.22
YJL191W,0.00027,1.9E-05,-0.96,-0.25,-0.1,0.13,-0.13,-0.65,-0.56,-0.43,-0.49,-0.53,-1.19,-1.09,-0.15,-0.04,-0.01,-0.01,-0.23,-0.23,-0.25,-0.13,0.11,-0.14,-0.2,-0.28,-0.07,-0.03,-0.16,-0.31,-0.28,-0.27
YFL018C,0.023891,2E-05,0.4,0.51,0.41,0.48,0.33,0.15,0.26,0.4,0.36,0.41,0.08,0.15,0.06,-0.03,-0.24,0.32,0.36,0.4,0.41,0.48,0.45,0.32,0.36,0.33,0.59,,,,,
YGR175C,0.00018,2E-05,-0.81,-0.15,-0.04,-0.04,0.1,-0.61,-0.66,-0.28,-0.28,-0.15,-0.5,-0.27,-0.13,-0.18,-0.31,-0.07,-0.15,-0.25,-0.27,-0.28,-0.1,-0.26,-0.46,-0.65,-0.56,-0.1,-0.23,-0.26,-0.33,-0.4
YMR145C,2E-06,2E-05,-0.79,0.39,0.72,0.9,0.57,-1.26,0.47,0.55,0.71,0.64,-1.04,0.33,0.18,0.46,0.13,-0.08,0.13,0.14,0.27,0.31,0.1,0.19,0.26,0.3,0.68,0.02,0.07,0.38,0.32,0.46
YMR146C,0,2.1E-05,-0.91,-0.23,-0.31,-0.45,-0.35,-1.16,-0.31,-0.39,-0.37,0.13,-1.33,-0.23,-0.44,-0.34,-0.3,-0.01,-0.11,-0.15,-0.19,-0.15,0,-0.19,-0.2,-0.35,-0.33,-0.03,-0.11,-0.28,-0.26,-0.2
YNL110C,6E-06,2.2E-05,-1.22,-0.67,-0.69,-0.99,-0.87,-3.03,-1.33,-1.4,-1.61,-0.66,-2.78,-1.1,-0.5,-0.84,-0.41,-0.11,-0.38,-0.37,-0.21,-0.12,-0.2,-0.1,-0.25,-0.32,-0.28,-0.16,-0.22,-0.34,-0.39,-0.38
YDR158W,1E-06,2.4E-05,-0.37,0.72,0.76,0.9,0.8,-0.13,0.15,0.7,0.81,0.67,-0.24,0.35,0.42,0.5,0.71,0.02,0.06,0.13,0.24,0.48,0.18,0.06,0.15,0.25,0.61,0.01,0.01,0,0.08,0.36
YBL047C,1E-06,2.9E-05,0.79,0.53,0.35,0.28,0.18,0.32,0.64,0.37,0.32,0.13,0.53,0.6,0.21,0.35,0.05,-0.02,0.17,0.17,0.17,0.12,0.01,0.14,0.18,0.24,0.33,0.11,0.2,0.28,0.24,0.29
YLR175W,0,3.1E-05,-1.7,-0.81,-0.46,-0.72,-0.89,-2.48,-0.87,-0.89,-0.98,-0.62,-2.44,-0.64,-0.6,-0.8,-0.46,-0.09,-0.16,-0.14,-0.18,-0.2,-0.1,-0.1,-0.14,-0.25,-0.18,-0.16,-0.26,-0.31,-0.34,-0.27
YPL111W,0,3.1E-05,0.75,0.56,1.31,1.09,0.55,1.33,-0.25,1.12,1.6,1.3,1.15,0.2,1.03,1.26,0.86,0.17,0.09,0.16,0.21,0.21,0.2,0.2,0.23,0.28,0.64,0.19,0.27,0.27,0.38,0.58
YJL171C,2E-06,3.2E-05,0.83,0.28,0.45,0.05,0.08,1.73,0.42,0.66,0.39,-0.12,1.61,0.22,0.6,0.27,0.14,0.32,0.45,0.48,0.46,0.39,0.31,0.4,0.46,0.51,0.65,,,,,
YLR390W-A,7E-06,3.2E-05,0.26,1.05,0.87,1.02,0.84,-0.14,0.57,0.4,0.46,0.52,-0.13,0.81,0.76,0.55,0.41,-0.11,0.22,0.25,0.36,0.29,0.25,0.4,0.57,0.44,0.55,0,0.29,0.44,0.75,0.64
YDL007W,0.012391,3.3E-05,1.07,-0.19,-0.44,-0.2,-0.33,0.3,0.45,-0.28,-0.36,-0.02,0.21,-0.26,-0.24,-0.61,-0.31,0.1,0.16,0.14,0.12,0.1,0.05,0.17,0.22,0.13,0.15,0.03,0.14,0.15,0.13,0.08
YLR178C,0,3.3E-05,3.51,1.79,1.24,1.93,1.77,3,2.87,1.91,2.11,1.66,3.4,2.46,1.19,1.43,1.34,0.69,1.04,1.05,1.08,0.97,0.34,1.32,1.43,1.32,1.47,0.58,0.56,0.41,0.43,0.68
YOR369C,0.001271,3.3E-05,-0.84,0.16,0.18,0.25,0.23,-0.38,-0.32,-0.22,0.08,0.21,-0.79,0.3,0.01,0.01,0.39,-0.06,-0.22,-0.21,-0.23,-0.13,0.05,-0.11,-0.16,-0.19,-0.07,-0.07,-0.22,-0.24,-0.27,-0.22
YPL220W,0.000321,3.5E-05,-1.1,0.09,0.08,0.3,0.23,-0.58,-0.33,-0.11,0.09,0.08,-0.72,-0.53,-0.01,-0.16,0.16,-0.08,-0.16,-0.16,-0.15,-0.07,-0.08,-0.22,-0.23,-0.19,-0.19,-0.05,-0.1,-0.15,-0.17,-0.13
YBR222C,0.000545,3.6E-05,0.4,0.36,0.35,0.22,0.44,0.77,0.46,0.44,0.33,0.37,0.37,0.4,0.05,0.01,-0.12,0.07,0.12,0.22,0.19,0.18,-0.02,0.19,0.23,0.23,0.18,0.13,0.18,0.12,0.11,0.2
YDR101C,0,3.7E-05,-1.9,-0.83,-0.8,-0.67,-0.6,-2.9,-1.02,-1.03,-0.96,-0.44,-2.77,-0.89,-0.62,-0.53,-0.45,-0.02,-0.07,-0.16,-0.16,-0.26,-0.02,-0.16,-0.17,-0.24,-0.15,0.09,-0.2,-0.22,-0.17,-0.19
YDR129C,6.1E-05,3.7E-05,0.69,0.37,0.04,0.12,-0.04,0.81,0.69,0.58,0.46,0.42,0.63,0.31,0.49,0.29,0.04,0.08,0.18,0.21,0.21,0.18,-0.05,0.11,0.24,0.21,0.18,0.11,0.29,0.3,0.33,0.36
YDR293C,1E-05,3.8E-05,0.73,0.14,0.07,-0.01,-0.14,0.65,0.55,0.27,0.26,0.13,0.78,0.32,0.16,0.27,0.07,0.05,0.17,0.26,0.21,0.21,0.02,0.2,0.19,0.13,0.26,0.25,0.35,0.31,0.24,0.38
YOR259C,0.005268,3.8E-05,0.98,0.11,-0.03,0.09,-0.06,0.36,0.38,-0.25,-0.36,0.04,0.25,0.36,-0.21,-0.31,-0.15,0.1,0.2,0.17,0.18,0.08,0.11,0.24,0.24,0.2,0.26,0,0.15,0.2,0.18,0.1
YCL043C,0.02729,3.9E-05,0.23,0.51,0.47,0.43,0.59,0.13,0.28,0.25,0.26,0.27,-0.17,0.56,0.07,-0.1,-0.23,-0.02,0.03,0.12,0.15,0.17,0,0.09,0.21,0.23,0.13,0.06,0.12,0.22,0.22,0.16
YIR027C,0.055753,4E-05,0.07,0.03,0.09,0.02,0.18,0.05,0.08,0.09,0.12,0.12,0.1,0.14,0.03,0.11,0,,,,,,0.84,0.77,0.29,0.4,0.68,0.54,0.73,0.43,0.7,0.79
YDR388W,0.139813,4.1E-05,0.29,0.23,0.35,0.26,-0.16,0.15,0.37,0.18,-0.01,0.01,-0.13,0.45,-0.27,-0.38,-0.53,0.07,0.19,0.2,0.19,0.2,0.08,0.16,0.23,0.37,0.35,0.04,0.35,0.41,0.48,0.18
YJR077C,0.000409,4.1E-05,-0.44,0.26,0.54,0.72,0.52,-0.53,0,0.3,0.52,0.68,-0.36,0.49,0.31,0.25,-0.03,-0.06,0.08,0.1,0.13,0.2,-0.12,0.06,0.19,0.21,0.22,-0.1,-0.05,0.17,0.18,0.2
YJR125C,1.1E-05,4.2E-05,0.95,0.3,0.18,0.29,-0.04,0.67,0.7,0.37,0.37,0.29,0.79,0.21,0.19,0.14,-0.08,0.08,0.14,0.08,0.13,0.14,0.09,0.15,0.21,0.14,0.24,0.1,0.23,0.16,0.15,0.13
YMR090W,0,4.4E-05,3.23,2.48,1.88,2.03,1.69,2.9,3.01,2.84,2.58,1.97,3.22,3.18,2.44,2.42,2.18,0.97,1.77,1.91,2,2.09,0.38,1.13,1.35,1.48,1.66,,,,,
YKL210W,0.001394,4.5E-05,0.46,0.52,0.27,0.06,0.16,0.37,0.7,0.5,0.26,0.27,0.19,0.5,0.11,-0.23,-0.34,0,0.2,0.25,0.23,0.17,-0.04,0.06,0.22,0.26,0.15,0.04,0.06,0.17,0.15,0.11
YHR047C,3.2E-05,4.8E-05,-0.42,0.17,0.27,0.3,0.32,-0.08,0.33,0.66,0.59,0.75,-0.22,0.25,0.33,0.46,0.46,-0.01,0.14,0.18,0.21,0.3,-0.21,0,0.18,0.2,0.22,-0.1,-0.06,0.17,0.26,0.35
YKL181W,0,4.8E-05,-1.35,-0.64,-0.64,-0.43,-0.25,-1.59,-0.65,-0.74,-0.75,-0.2,-1.66,-0.77,-0.58,-0.59,-0.09,-0.05,-0.07,-0.1,-0.14,-0.22,-0.02,-0.14,-0.13,-0.16,-0.16,0.01,-0.07,-0.17,-0.23,-0.16
YDL182W,0,5E-05,-0.29,1.03,0.66,0.55,0.32,-0.12,1.42,0.82,0.7,0.71,-0.11,1.22,0.68,0.59,0.34,0.03,0.19,0.21,0.17,0.15,0.09,0.18,0.28,0.24,0.4,0.09,0.14,0.19,0.18,0.53
