Systematic Name,Standard Name,Qualifier a,Mean molecules per cell,Median molecules per cell,Coefficient of Variation,LU,PENG,KUL,LAW,LAHT,DGD,LEE2,THAK,NAG,PIC,WEB,TKA,BRE,DEN,MAZ,CHO,YOF,NEW,LEE,DAV,GHA
YDR501W,PLM2,Verified,436,436,141,,869,2,,,,,,,,,,,,,,,,,,
YDR369C,XRS2,Verified,687,437,97,,1932,52,,,908,,,384,,490,,,,,,,,,,358
YPR117W,YPR117W,Uncharacterized,604,437,94,,138,437,,,,,,,,,,1237,,,,,,,,
YJL193W,YJL193W,Uncharacterized,448,439,98,,904,10,,,,,,136,,741,,,,,,,,,,
YHR124W,NDT80,Verified,441,441,,,,,,,,,,,,441,,,,,,,,,,
YOR003W,YSP3,Verified,1151,442,106,,3051,,400,,442,,,172,,,,,,,,1688,,,,
YBL066C,SEF1,Verified,582,442,78,460,1283,77,,,975,,,274,,425,,,,,,,,,,
YLR142W,PUT1,Verified,2281,443,182,,1517,15,,,166,,,443,,,,2108,,,11531,,,,,184
YLL003W,SFI1,Verified,462,444,17,,548,,,444,,,,,,392,,,,,,,,,,
YGL144C,ROG1,Verified,525,446,74,646,277,125,,,446,,,,,1131,,,,,,,,,,
YKL176C,LST4,Verified,684,446,102,,157,33,,,185,,,707,,,,1259,,,,1766,,,,
YOR296W,YOR296W,Uncharacterized,756,448,97,,448,46,,,900,,2016,,,166,,1415,,,,,,,,300
YHR035W,NEL1,Verified,450,450,,,,,,,,,,,,,,,,,,,,,,450
YNR045W,PET494,Verified,482,450,50,,304,,492,,,,,281,,880,,,,,,,,,,450
YOR193W,PEX27,Verified,830,451,123,,519,87,,,,,,,,,,,,2331,,,,,,382
YNL275W,BOR1,Verified,644,451,115,,,12,,,,,,,,707,,,,,1660,,,,,195
YGL136C,MRM2,Verified,591,453,99,,422,41,,,,,,484,,,,1416,,,,,,,,
YIL031W,ULP2,Verified,658,454,108,,457,52,,,713,,,243,,,,,,,,,,2030,,450
YLR238W,FAR10,Verified,669,454,81,,531,299,,,,,,1469,,376,,,,,,,,,,
YHR031C,RRM3,Verified,392,455,74,559,351,4,,,,,,,,,,,,,,,,,,656
YPL103C,FMP30,Verified,665,457,82,,,205,,,,,,1347,,457,,1137,,,,,,,,178
YJL057C,IKS1,Verified,645,457,84,,1494,32,288,,,,,211,,457,,1138,,,,,,,,892
YGL090W,LIF1,Verified,463,463,126,,,50,,,,,,,,,,,,,,,,,,876
YGL131C,SNT2,Verified,556,463,97,,340,14,,,586,,,,,,,1282,,,,,,,,
YJL100W,LSB6,Verified,628,467,128,,467,59,,,548,,,,,2007,,,,,,,,,,57
YLR408C,BLS1,Verified,976,468,120,,,147,,,,,,,,,,,,2315,,,,,,468
YER153C,PET122,Verified,468,468,,,,,,,,,,,,,,,,,,,,,,468
YIR018W,YAP5,Verified,786,472,96,,1649,,,,,,,472,,,,,,,,,,,,238
YGL104C,VPS73,Verified,472,472,,,472,,,,,,,,,,,,,,,,,,,
YLR173W,YLR173W,Uncharacterized,501,474,77,,258,113,,,,,,944,,690,,,,,,,,,,
YML043C,RRN11,Verified,707,476,65,,412,,,,,,,,,,,1232,,,,,,,,476
YDR461C-A,YDR461C-A,Uncharacterized,6252,477,163,,18055,225,,,477,,,,,,,,,,,,,,,
YLR353W,BUD8,Verified,579,477,79,,477,10,,,352,,,,,864,,1190,,,,,,,,
YKL108W,SLD2,Verified,1168,482,143,,308,55,,,,,,,,,,,3652,,,,,,,656
YJL206C,YJL206C,Uncharacterized,536,483,97,,741,9,,,225,,,,,,,1168,,,,,,,,
YDR022C,ATG31,Verified,1706,486,166,,6705,14,,,176,,,,,,,1148,,,,,,,,486
YPL148C,PPT2,Verified,712,486,58,,,461,,,,,,,,,,1188,,,,,,,,486
YMR164C,MSS11,Verified,694,490,82,,256,,,,,,,,,490,,1335,,,,,,,,
YNL063W,MTQ1,Verified,3077,490,185,,,33,,,,,,297,,490,,1365,,,,,,,,13200
YOR368W,RAD17,Verified,626,490,92,,1738,44,285,,825,,,812,,490,,,,,,,,,,189
YIL055C,YIL055C,Uncharacterized,933,493,114,,1114,50,,,496,,457,,,490,,,,,,,,,2988,
YER051W,JHD1,Verified,449,494,76,,,26,,,653,,,334,,,,,,,,,,,,784
YHR168W,MTG2,Verified,515,497,84,,471,35,592,,,,,,,523,,1281,,,,,,,,189
YDR102C,YDR102C,Uncharacterized,498,498,,,,,,,,,498,,,,,,,,,,,,,
YOL036W,YOL036W,Uncharacterized,552,500,111,,500,48,,,104,,,,,528,,1577,,,,,,,,
YKL121W,DGR2,Uncharacterized,567,504,65,,651,74,,,933,,274,406,,,,1130,,,,,,,,504
YPL176C,TRE1,Verified,803,505,73,,505,137,,,1249,,,1726,,409,,1200,,,,,,,,396
YPL177C,CUP9,Verified,8913,506,192,,,44,491,,,,34598,,,,,,,,,,,,,521
YGL229C,SAP4,Verified,675,506,86,,506,31,,,1257,,,,,,,1302,,,,,,,,279
YOL053W,AIM39,Verified,730,506,92,,762,200,,,310,,,1872,,506,,,,,,,,,,
YPL113C,YPL113C,Verified,487,506,80,869,,87,,,,,,,,506,,,,,,,,,,
YJL210W,PEX2,Verified,1147,506,108,2961,1901,26,,,,,,506,,,,,,,,,,,,339
YLR425W,TUS1,Verified,630,509,97,,796,87,,,509,,,,,159,,1600,,,,,,,,
YIL001W,YIL001W,Uncharacterized,443,510,79,510,,20,,,,,,929,,559,,,,,,,,,,195
YOR372C,NDD1,Verified,929,511,111,,2206,30,,,89,,,223,,,,,,,,,,2228,,799
